"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"74539","20171011001204","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"74539","20171011001204","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74538","20171011001203","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74538","20171011001203","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74538","20171011001203","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"74538","20171011001203","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74537","20171011001202","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",571.89,571.89,571.89,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74537","20171011001202","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",571.89,571.89,571.89,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"74536","20171011001194","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171016,20171016,"Server job user","GenCost","General Cost","General Cost","GBP",3342.61,3342.61,2025.00,20171016,"OTH INV EXP FGN PRIV EQUITY",0.0000000,0.00,0.00
"74536","20171011001194","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171016,20171016,"Server job user","GenCost","General Cost","General Cost","GBP",3342.61,3342.61,2025.00,20171016,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74536","20171011001194","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171016,20171016,"Server job user","GenCost","General Cost","General Cost","GBP",3342.61,3342.61,2025.00,20171016,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74536","20171011001194","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171016,20171016,"Server job user","GenCost","General Cost","General Cost","GBP",3342.61,3342.61,2025.00,20171016,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74534","20171011000985","FS1000520","Thomas H Lee Equity Fund VI, LP (Pantheon)","MFS1000520",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",19882.85,15886.58,19882.85,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74534","20171011000985","FS1000520","Thomas H Lee Equity Fund VI, LP (Pantheon)","MFS1000520",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",19882.85,15886.58,19882.85,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74534","20171011000985","FS1000520","Thomas H Lee Equity Fund VI, LP (Pantheon)","MFS1000520",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",19882.85,15886.58,19882.85,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
