Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75355","PR1000130","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",16931.82000,"CAD","Yes",16931.82000,"CAD","Hassan, Sohaib",2017-11-01 15:52:32.063,Investran,2017-11-07 13:23:44.590
"75356","PR1000130","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",4622.25000,"CAD","Yes",4622.25000,"CAD","Hassan, Sohaib",2017-11-01 15:56:42.327,Investran,2017-11-07 13:23:05.500
"75358","PR1000130","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",1323.96000,"CAD","Yes",1027.00000,"USD","Hassan, Sohaib",2017-11-01 16:23:20.453,Investran,2017-11-07 13:24:41.117
"75359","PR1000130","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",338.70000,"CAD","Yes",262.73000,"USD","Hassan, Sohaib",2017-11-01 16:30:56.437,Investran,2017-11-07 13:54:01.270
"75360","PR1000130","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",116023.50000,"CAD","Yes",90000.00000,"USD","Hassan, Sohaib",2017-11-01 16:34:42.040,Investran,2017-11-07 13:55:38.700
"75361","PR1000130","6","Manual","1","Capital Call",2017-11-10 00:00:00.000,2017-11-10 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",13207.34000,"CAD","Yes",10245.00000,"USD","Hassan, Sohaib",2017-11-01 16:39:47.460,Investran,2017-11-07 13:36:08.700
"75362","PR1000130","9","Manual pending review","1","Capital Call",2017-11-10 00:00:00.000,2017-11-10 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",6551.44000,"CAD","Yes",4374.80000,"EUR","Hassan, Sohaib",2017-11-01 16:43:32.883,Investran,2017-11-07 13:14:04.293
"75363","PR1000130","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000130","Corporate Expenses - Principal Investing (VCC)",1031.32000,"CAD","Yes",800.00000,"USD","Hassan, Sohaib",2017-11-01 16:48:48.180,Investran,2017-11-07 13:58:40.427
"75364","IN1000047","6","Manual","1","Capital Call",2017-11-06 00:00:00.000,2017-11-06 00:00:00.000,"MIN1000024","NorthConnex Finance Pty Ltd",9010640.00000,"AUD","No",0," ","Shang, Jenny",2017-11-01 16:51:43.763,NULL,2017-11-03 10:44:10.390
"75365","PR1000125","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000125","Corporate Expenses - Natural Resources (CPPIB)",24233.64000,"CAD","Yes",24233.64000,"CAD","Hassan, Sohaib",2017-11-01 16:52:58.587,Investran,2017-11-07 13:56:36.230
